Date,Price,Open,High,Low,Vol.,Change %,Return,MA10,MA20,MA50,MA200,Volatility20,Price_lag1,Price_lag5,RSI,MACD,Signal,Year,Month,DayOfWeek
2020-08-31,81.48,82.18,82.22,81.27,26420000.0,-0.006,-0.005977796754910281,79.92500000000001,77.407,77.25142857142858,77.25142857142858,0.011754091455261162,81.97,79.26,80.11317704122888,1.9131781175952227,1.3963342294404817,2020,8,Monday
2020-09-01,82.75,81.61,82.96,81.48,22680000.0,0.015700000000000002,0.015586647029945944,80.421,77.861,77.50136363636364,77.50136363636364,0.011683098624560243,81.48,80.29,80.01624695369628,2.026120018155666,1.5222913871835186,2020,9,Tuesday
2020-09-02,85.87,83.4,86.31,83.01,49520000.0,0.037599999999999995,0.03770392749244711,81.285,78.45700000000001,77.86521739130436,77.86521739130436,0.013656513680589856,82.75,82.21,83.55614973262041,2.340406464256816,1.685914402598178,2020,9,Wednesday
2020-09-03,81.48,84.98,85.0,80.39,63730000.0,-0.0512,-0.051123791778269534,81.55199999999999,78.7685,78.01583333333333,78.01583333333333,0.01871493603927349,85.87,81.43,66.66666666666669,2.209771554914326,1.7906858330614077,2020,9,Thursday
2020-09-04,79.06,80.45,81.75,76.9,55850000.0,-0.0296,-0.029700540009818366,81.58000000000001,78.9755,78.05760000000001,78.05760000000001,0.020125694923754107,81.48,81.97,57.89218067022827,1.8891912520971204,1.8103869168685502,2020,9,Friday
2020-09-08,76.18,76.25,77.78,75.82,54030000.0,-0.0364,-0.03642802934480138,81.272,79.0425,77.98538461538462,77.98538461538462,0.021960896522816905,79.06,81.48,46.25407166123778,1.3867515133987638,1.7256598361745932,2020,9,Tuesday
2020-09-09,77.36,77.44,77.94,76.26,39240000.0,0.0155,0.015489629824100737,80.979,79.209,77.96222222222222,77.96222222222222,0.021995962938361015,76.18,82.75,50.293984622342826,1.0714297635536383,1.5948138216504024,2020,9,Wednesday
2020-09-10,76.3,77.51,78.68,76.0,33020000.000000004,-0.0137,-0.013702171664943141,80.388,79.256,77.90285714285714,77.90285714285714,0.02195888705754308,77.36,85.87,44.18712366836496,0.7276143781928823,1.4213739329588986,2020,9,Thursday
2020-09-11,75.79,76.41,76.93,74.65,30710000.0,-0.0067,-0.006684141546526745,79.824,79.254,77.83000000000001,77.83000000000001,0.02198215927810782,76.3,81.48,43.22609877661984,0.40926768734678376,1.2189526838364757,2020,9,Friday
2020-09-14,75.44,76.58,77.85,75.26,42660000.0,-0.0046,-0.004618023485948086,79.171,79.2645,77.75033333333334,77.75033333333334,0.02193041199031961,75.79,79.06,41.294439380127585,0.12726651716995718,1.000615450503172,2020,9,Monday
2020-09-15,76.76,76.39,77.55,76.11,23040000.0,0.0174,0.017497348886532427,78.699,79.312,77.7183870967742,77.7183870967742,0.022210244572508,75.44,76.18,42.06027890238415,0.010174244043724912,0.8025272092112825,2020,9,Tuesday
2020-09-16,75.6,77.12,77.72,75.58,22140000.0,-0.015,-0.015112037519541599,77.984,79.20250000000001,77.6521875,77.6521875,0.021648738143012596,76.76,77.36,34.60642757335816,-0.17421627471946977,0.6071785124251321,2020,9,Wednesday
2020-09-17,74.35,74.29,74.93,73.12,40010000.0,-0.0166,-0.016534391534391513,76.832,79.05850000000001,77.55212121212122,77.55212121212122,0.021884200984225152,75.6,76.3,33.86508659981766,-0.4164115099360117,0.40246050795290333,2020,9,Thursday
2020-09-18,72.55,74.42,74.76,71.58,63060000.0,-0.0242,-0.024209818426361718,75.939,78.74549999999999,77.405,77.405,0.021786221434729983,74.35,75.79,29.698275862068968,-0.7450099248784738,0.17296642138662793,2020,9,Friday
2020-09-21,71.51,71.58,72.0,70.13,56910000.0,-0.0144,-0.014334941419710479,75.184,78.38199999999999,77.23657142857144,77.23657142857144,0.021890694308386412,72.55,75.44,29.010526315789477,-1.0769316468433345,-0.07701319225936457,2020,9,Monday
2020-09-22,72.99,72.52,73.2,71.47,33950000.0,0.0208,0.020696406097049147,74.86500000000001,78.0685,77.11861111111111,77.11861111111111,0.022501179629041208,71.51,76.76,29.632721202003324,-1.2066488746295505,-0.30294032873340176,2020,9,Tuesday
2020-09-23,70.47,72.6,72.65,70.13,37730000.0,-0.0345,-0.03452527743526501,74.176,77.5775,76.93891891891893,76.93891891891893,0.023126837206541902,72.99,75.6,17.037671232876676,-1.49555383799904,-0.5414630305865294,2020,9,Wednesday
2020-09-24,71.14,70.13,71.9,70.11,34550000.0,0.0096,0.009507591883070932,73.66,77.024,76.78631578947369,76.78631578947369,0.022349351090806595,70.47,74.35,23.676171079429707,-1.6514132384965308,-0.7634530721685298,2020,9,Thursday
2020-09-25,71.95,71.25,72.3,70.38,30330000.0,0.011399999999999999,0.011385999437728556,73.276,76.55000000000001,76.66230769230769,76.66230769230769,0.022709884852610097,71.14,72.55,30.282861896838583,-1.6900903957125308,-0.9487805368773301,2020,9,Friday
2020-09-28,72.93,73.6,73.65,72.31,30780000.0,0.013600000000000001,0.013620569840166796,73.025,76.098,76.569,76.569,0.02296556588537059,71.95,71.51,39.92560446373218,-1.6229560841784831,-1.0836156463375608,2020,9,Monday
2020-09-29,73.3,73.2,73.6,72.7,31820000.0,0.005,0.005073358014534346,72.679,75.68900000000001,76.48926829268292,76.48926829268292,0.023087938214286077,72.93,72.99,36.74934725848563,-1.5223470813050568,-1.17136193333106,2020,9,Tuesday
2020-09-30,73.28,73.05,74.31,72.79,40920000.0,-0.0003,-0.0002728512960435969,72.447,75.2155,76.41285714285715,76.41285714285715,0.02261032802029302,73.3,70.47,39.42577030812326,-1.427769120862294,-1.222643370837307,2020,9,Wednesday
2020-10-01,74.39,74.18,74.75,73.84,32880000.000000004,0.0152,0.015147379912663794,72.451,74.6415,76.36581395348837,76.36581395348837,0.020816821587452627,73.28,71.14,45.295698924731155,-1.2488516974856196,-1.2278850361669695,2020,10,Thursday
2020-10-02,72.78,72.98,73.95,72.37,31220000.0,-0.0217,-0.0216426939104718,72.474,74.20649999999999,76.2843181818182,76.2843181818182,0.018430592289249495,74.39,71.95,41.75960346964065,-1.222875349284692,-1.2268830987905142,2020,10,Friday
2020-10-05,74.14,73.13,74.24,73.0,21600000.0,0.0187,0.01868645232206645,72.737,73.9605,76.23666666666666,76.23666666666666,0.018257139562818193,72.78,72.93,41.90358467243509,-1.0800975796197463,-1.1975259949563606,2020,10,Monday
2020-10-06,72.55,73.78,74.23,72.25,26100000.0,-0.0215,-0.021445913137307815,72.693,73.779,76.15652173913044,76.15652173913044,0.017085193461073855,74.14,73.3,40.81878386514148,-1.082763457180036,-1.1745734874010956,2020,10,Tuesday
2020-10-07,72.96,72.97,73.45,71.66,36110000.0,0.005600000000000001,0.0056512749827704045,72.94200000000001,73.559,76.08851063829788,76.08851063829788,0.0166829682630685,72.55,73.28,45.59289790741913,-1.0398063702864846,-1.1476200639781733,2020,10,Wednesday
2020-10-08,74.17,73.27,74.4,73.27,26080000.0,0.0166,0.01658442982456143,73.24499999999999,73.45250000000001,76.04854166666667,76.04854166666667,0.017011736498942935,72.96,74.39,55.33596837944666,-0.8977766712070689,-1.0976513854239525,2020,10,Thursday
2020-10-09,75.52,74.64,75.59,74.35,32970000.0,0.0182,0.018201429149251602,73.602,73.439,76.03775510204082,76.03775510204082,0.017498518968031656,74.17,72.78,62.9438347320852,-0.6685764605755367,-1.0118364004542693,2020,10,Friday
2020-10-12,78.23,76.9,79.42,76.46,55340000.0,0.0358,0.03588453389830515,74.13199999999999,73.5785,76.0816,76.0816,0.019200771792513494,75.52,74.14,65.66985645933018,-0.26520220483202195,-0.8625095613298198,2020,10,Monday
