Date,AAPL,AMZN,JNJ,JPM,META,MSFT,NVDA,TSLA,XOM
2023-01-03,123.4706039428711,85.81999969482422,164.89013671875,126.70986938476562,124.15486145019531,234.80894470214844,14.303278923034668,108.0999984741211,97.81239318847656
2023-01-04,124.74412536621094,85.13999938964844,166.685302734375,127.89141082763672,126.77252960205078,224.53765869140625,14.736924171447754,113.63999938964844,98.09706115722656
2023-01-05,123.4212417602539,83.12000274658203,165.45455932617188,127.86310577392578,126.34452819824219,217.88284301757812,14.25332260131836,110.33999633789062,100.2918930053711
2023-01-06,127.96245574951172,86.08000183105469,166.79635620117188,130.30979919433594,129.4101104736328,220.45065307617188,14.846834182739258,113.05999755859375,101.50410461425781
2023-01-09,128.4856414794922,87.36000061035156,162.47494506835938,129.77133178710938,128.8626708984375,222.5970458984375,15.615203857421875,119.7699966430664,99.6123275756836
2023-01-10,129.05824279785156,89.87000274658203,162.0862579345703,130.9333038330078,132.3661651611328,224.2926483154297,15.895977020263672,118.8499984741211,101.10003662109375
2023-01-11,131.782958984375,95.08999633789062,161.8271484375,131.9063262939453,132.26663208007812,231.07479858398438,15.987899780273438,123.22000122070312,102.27552032470703
2023-01-12,131.70396423339844,95.2699966430664,161.0128936767578,131.77407836914062,136.06871032714844,233.76025390625,16.497482299804688,123.55999755859375,103.97444915771484
2023-01-13,133.0366973876953,98.12000274658203,160.4853973388672,135.099365234375,136.33743286132812,234.4658966064453,16.885164260864258,122.4000015258789,103.91015625
2023-01-17,134.20162963867188,96.05000305175781,159.49525451660156,133.0116424560547,134.7250518798828,235.56361389160156,17.68750762939453,131.49000549316406,103.7081298828125
2023-01-18,133.48095703125,95.45999908447266,157.08934020996094,129.015625,132.39602661132812,231.11404418945312,17.362775802612305,128.77999877929688,101.57758331298828
2023-01-19,133.54017639160156,93.68000030517578,156.87648010253906,127.2962875366211,135.51132202148438,227.311279296875,16.751272201538086,127.16999816894531,102.22959899902344
2023-01-20,136.10694885253906,97.25,156.14544677734375,127.60800170898438,138.71621704101562,235.4362030029297,17.82439613342285,133.4199981689453,104.09383392333984
2023-01-23,139.30548095703125,97.5199966430664,155.74754333496094,129.6768798828125,142.5979461669922,237.7491912841797,19.17728614807129,143.75,103.55200958251953
2023-01-24,140.70730590820312,96.31999969482422,155.74754333496094,130.79159545898438,142.4685516357422,237.21995544433594,19.249225616455078,143.88999938964844,104.51626586914062
2023-01-25,140.04591369628906,97.18000030517578,156.8579559326172,131.42453002929688,140.83624267578125,235.81845092773438,19.307178497314453,144.42999267578125,103.96526336669922
2023-01-26,142.11907958984375,99.22000122070312,156.2842559814453,132.23695373535156,146.60902404785156,243.061279296875,19.785785675048828,160.27000427246094,108.14371490478516
2023-01-27,144.06385803222656,102.23999786376953,155.6735382080078,132.55819702148438,151.0281982421875,243.21807861328125,20.348325729370117,177.89999389648438,106.16927337646484
2023-01-30,141.1713409423828,100.55000305175781,149.9084930419922,131.4340057373047,146.37014770507812,237.8766326904297,19.146312713623047,166.66000366210938,104.28668975830078
2023-01-31,142.44482421875,103.12999725341797,151.22251892089844,132.21807861328125,148.2711944580078,242.87503051757812,19.521007537841797,173.22000122070312,106.53662109375
2023-02-01,143.5702362060547,105.1500015258789,152.6105499267578,131.86856079101562,152.40171813964844,247.71669006347656,20.92585563659668,181.41000366210938,105.37032318115234
2023-02-02,148.89132690429688,112.91000366210938,153.1842803955078,131.25453186035156,187.88450622558594,259.3306884765625,21.69122314453125,188.27000427246094,102.073486328125
2023-02-03,152.52426147460938,103.38999938964844,152.32371520996094,133.28558349609375,185.65501403808594,253.2051544189453,21.082727432250977,189.97999572753906,102.78060150146484
2023-02-06,149.78968811035156,102.18000030517578,151.1669921875,134.0696563720703,185.18719482421875,251.65660095214844,21.071733474731445,194.75999450683594,102.60612487792969
2023-02-07,152.67234802246094,102.11000061035156,151.20401000976562,135.70396423339844,190.72113037109375,262.2318115234375,22.15484619140625,196.80999755859375,105.53562927246094
2023-02-08,149.9772491455078,100.05000305175781,151.39834594726562,134.74984741210938,182.5695343017578,261.4183044433594,22.18682098388672,201.2899932861328,104.61727142333984
