transmission,Avg_MPG,Std_MPG,Count
CVT,35.58,7.61,45
SCV,31.59,5.86,73
AMS,24.12,9.66,115
M,24.08,5.43,85
SA,22.42,4.15,461
AM,21.69,5.65,32
A,20.35,3.66,297
